City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,Havre,49.5833,0.3333,53.6,47,0,9.22,FR,2021-04-23 21:07:09
141,Araraquara,-21.7944,-48.1756,67.35,54,0,6.62,BR,2021-04-23 21:07:09
142,Tsiroanomandidy,-18.7667,46.0333,66.18,83,52,3.4,MG,2021-04-23 21:07:09
143,Aviles,43.5547,-5.9248,64.4,55,20,5.75,ES,2021-04-23 21:07:10
144,Lorengau,-2.0226,147.2712,79.88,77,93,3.85,PG,2021-04-23 21:07:10
145,Lompoc,34.6391,-120.4579,60.8,59,0,9.22,US,2021-04-23 21:05:01
146,Mareeba,-17.0,145.4333,75.2,78,40,10.36,AU,2021-04-23 21:07:10
147,Mar Del Plata,-38.0023,-57.5575,75.2,64,75,6.91,AR,2021-04-23 21:05:33
148,Sosnovo-Ozerskoye,52.5249,111.5418,27.48,37,100,3.67,RU,2021-04-23 21:07:11
149,Padang,-0.9492,100.3543,75.94,84,100,4.16,ID,2021-04-23 21:07:11
150,Nanakuli,21.3906,-158.1547,84.2,48,40,10.36,US,2021-04-23 21:07:11
151,Guerrero Negro,27.9769,-114.0611,65.3,58,17,20.85,MX,2021-04-23 21:04:39
152,Los Llanos De Aridane,28.6585,-17.9182,69.8,64,40,4.61,ES,2021-04-23 21:03:55
153,Trelew,-43.249,-65.3051,59.32,52,2,23.53,AR,2021-04-23 21:04:08
154,Dingle,10.9995,122.6711,76.15,84,100,3.6,PH,2021-04-23 21:04:03
155,Yubari,43.0378,141.9578,43.0,87,75,8.05,JP,2021-04-23 21:07:12
156,Laguna,38.421,-121.4238,75.99,43,1,12.66,US,2021-04-23 21:07:12
157,Cabo San Lucas,22.8909,-109.9124,84.2,47,40,8.05,MX,2021-04-23 21:02:43
158,San Jeronimo,-11.9472,-75.2829,61.3,55,32,5.3,PE,2021-04-23 21:07:12
159,Kruisfontein,-34.0033,24.7314,59.0,89,5,1.99,ZA,2021-04-23 21:07:13
160,Pangnirtung,66.1451,-65.7125,26.6,86,75,2.3,CA,2021-04-23 21:05:20
161,Banda Aceh,5.5577,95.3222,79.99,78,100,11.41,ID,2021-04-23 21:07:13
162,Arraial Do Cabo,-22.9661,-42.0278,75.2,83,0,18.41,BR,2021-04-23 21:07:13
163,Imeni Poliny Osipenko,52.4201,136.4853,31.64,68,34,1.88,RU,2021-04-23 21:07:14
164,Rocky Mount,35.9382,-77.7905,64.4,25,1,6.91,US,2021-04-23 21:07:14
165,Bambous Virieux,-20.3428,57.7575,79.0,78,75,10.36,MU,2021-04-23 21:07:14
166,Antalaha,-14.9003,50.2788,73.11,92,99,5.55,MG,2021-04-23 21:07:14
167,Komsomolskiy,40.4272,71.7189,53.6,54,5,4.61,UZ,2021-04-23 21:07:15
168,Taunggyi,20.7833,97.0333,67.24,54,3,3.15,MM,2021-04-23 21:07:15
169,Torbay,47.6666,-52.7314,45.0,65,75,21.85,CA,2021-04-23 21:03:20
170,Koraput,18.8167,82.7167,74.57,53,25,1.99,IN,2021-04-23 21:07:15
171,Nawashahr,31.1167,76.1333,66.29,59,0,4.23,IN,2021-04-23 21:07:16
172,Hare Bay,48.8499,-54.0148,44.6,45,48,13.8,CA,2021-04-23 21:07:16
173,Blagoyevo,63.3667,47.9167,48.87,75,99,8.59,RU,2021-04-23 21:07:16
174,Bulgan,48.8125,103.5347,26.67,96,100,4.07,MN,2021-04-23 21:07:16
175,Fortuna,40.5982,-124.1573,62.01,76,1,12.66,US,2021-04-23 21:06:34
176,Batagay,67.6333,134.6333,2.35,98,84,1.59,RU,2021-04-23 21:07:17
177,Ayr,55.4627,-4.6339,50.0,57,0,2.3,GB,2021-04-23 21:07:17
178,Pacific Grove,36.6177,-121.9166,61.0,59,75,13.8,US,2021-04-23 21:07:17
179,Tura,25.5198,90.2201,72.41,33,87,3.38,IN,2021-04-23 21:07:18
180,Ola,59.5833,151.2833,25.93,94,98,5.14,RU,2021-04-23 21:07:18
181,Kangaatsiaq,68.3065,-53.4641,33.22,74,100,6.6,GL,2021-04-23 21:07:18
182,Bengkulu,-3.8004,102.2655,73.83,89,87,3.49,ID,2021-04-23 21:07:19
183,Slave Lake,55.2834,-114.769,37.4,30,1,5.75,CA,2021-04-23 21:07:19
184,Ust-Kulom,61.6864,53.6902,39.54,92,23,4.54,RU,2021-04-23 21:07:19
185,Waingapu,-9.6567,120.2641,74.46,82,1,6.06,ID,2021-04-23 21:07:19
186,Maceio,-9.6658,-35.7353,78.8,83,0,6.91,BR,2021-04-23 21:07:20
187,Ust-Maya,60.4167,134.5333,24.33,93,100,5.19,RU,2021-04-23 21:07:20
188,Daokou,35.5639,114.5058,53.92,75,100,18.92,CN,2021-04-23 21:07:20
189,Talnakh,69.4865,88.3972,31.51,97,100,10.27,RU,2021-04-23 21:07:21
190,Sault Sainte Marie,46.5168,-84.3333,62.6,27,90,6.91,CA,2021-04-23 21:06:31
191,Teya,60.3778,92.6267,20.12,98,53,0.89,RU,2021-04-23 21:07:21
192,Cidreira,-30.1811,-50.2056,70.61,77,1,17.85,BR,2021-04-23 21:07:21
193,Vilhena,-12.7406,-60.1458,84.2,65,40,5.75,BR,2021-04-23 21:07:22
194,Dakar,14.6937,-17.4441,69.8,88,75,13.8,SN,2021-04-23 21:07:22
195,Ropczyce,50.0523,21.6089,42.01,87,0,10.36,PL,2021-04-23 21:07:22
196,Port Augusta,-32.5,137.7667,50.0,87,75,5.75,AU,2021-04-23 21:07:22
197,Edd,13.9297,41.6925,86.74,61,1,13.13,ER,2021-04-23 21:07:23
198,Tigbao,12.5546,123.3389,81.0,78,100,7.58,PH,2021-04-23 21:07:23
199,Atar,20.5169,-13.0499,83.19,11,0,5.44,MR,2021-04-23 21:07:23
200,Krasnoarmeysk,51.0239,45.6969,48.99,64,85,3.0,RU,2021-04-23 21:07:24
201,Dudinka,69.4058,86.1778,31.64,97,100,19.06,RU,2021-04-23 21:07:24
202,Vung Tau,10.346,107.0843,79.38,83,95,6.8,VN,2021-04-23 21:07:24
203,Sao Joao Da Barra,-21.6403,-41.0511,77.0,65,0,9.22,BR,2021-04-23 21:07:25
204,Kalaleh,37.3807,55.4916,57.07,89,98,6.46,IR,2021-04-23 21:07:26
205,Llanes,43.4198,-4.7549,64.99,59,25,5.12,ES,2021-04-23 21:07:26
206,Gobabis,-22.45,18.9667,62.96,26,0,9.51,NA,2021-04-23 21:07:26
207,Coquimbo,-29.9533,-71.3436,64.4,59,40,11.5,CL,2021-04-23 21:07:26
208,Ribeira Grande,38.5167,-28.7,59.0,72,40,28.77,PT,2021-04-23 21:07:27
209,Erenhot,43.6475,111.9767,48.76,37,20,22.35,CN,2021-04-23 21:04:08
210,Plettenberg Bay,-34.0527,23.3716,62.04,90,5,7.25,ZA,2021-04-23 21:07:27
211,Canico,32.6333,-16.85,66.2,68,40,6.91,PT,2021-04-23 21:07:27
212,Chulym,55.0997,80.9572,31.77,85,6,6.22,RU,2021-04-23 21:07:28
213,Henties Bay,-22.116,14.2845,64.0,85,6,5.91,NA,2021-04-23 21:07:28
214,Arlit,18.7369,7.3853,89.2,7,38,11.65,NE,2021-04-23 21:07:28
215,Leningradskiy,69.3833,178.4167,28.04,85,100,1.3,RU,2021-04-23 21:07:29
216,Ambon,-3.6954,128.1814,78.8,89,40,3.44,ID,2021-04-23 21:07:29
217,East London,-33.0153,27.9116,65.05,76,10,10.63,ZA,2021-04-23 21:07:29
218,Meulaboh,4.1363,96.1285,76.93,85,100,2.75,ID,2021-04-23 21:07:29
219,Oum Hadjer,13.2954,19.6966,92.08,12,87,6.8,TD,2021-04-23 21:07:30
220,Paamiut,61.994,-49.6678,33.44,77,1,2.06,GL,2021-04-23 21:07:30
221,Toora-Khem,52.4675,96.11,30.63,74,100,0.87,RU,2021-04-23 21:07:30
222,Bethel,41.3712,-73.414,63.0,20,1,14.97,US,2021-04-23 21:03:57
223,Vardo,70.3705,31.1107,33.8,69,40,11.5,NO,2021-04-23 21:07:31
224,Ambulu,-8.345,113.6058,72.55,89,14,2.91,ID,2021-04-23 21:07:31
225,Norman Wells,65.282,-126.8329,30.2,40,40,11.5,CA,2021-04-23 21:07:31
226,Mitu,1.1983,-70.1733,80.49,88,59,1.9,CO,2021-04-23 21:07:32
227,Lamar,33.6668,-95.5836,63.0,94,90,17.27,US,2021-04-23 21:07:32
228,Magistralnyy,56.1725,107.4458,23.67,93,100,2.64,RU,2021-04-23 21:07:32
229,Saldanha,-33.0117,17.9442,59.0,77,77,5.75,ZA,2021-04-23 21:05:59
230,Parnamirim,-5.9156,-35.2628,84.2,74,20,12.66,BR,2021-04-23 21:03:30
231,Ambilobe,-13.2,49.05,73.38,82,93,4.12,MG,2021-04-23 21:07:33
232,Grindavik,63.8424,-22.4338,46.4,87,90,19.57,IS,2021-04-23 21:07:33
233,Camabatela,-8.1881,15.375,62.85,98,100,2.37,AO,2021-04-23 21:07:33
234,Oranjemund,-28.55,16.4333,61.27,88,56,5.41,NA,2021-04-23 21:04:50
235,Luderitz,-26.6481,15.1594,63.63,80,46,8.39,NA,2021-04-23 21:07:34
236,Socorro,31.6546,-106.3033,75.0,8,1,14.97,US,2021-04-23 21:04:15
237,San Cristobal,7.7669,-72.225,89.6,58,20,9.22,VE,2021-04-23 21:07:34
238,Vacaria,-28.5122,-50.9339,59.23,58,1,0.6,BR,2021-04-23 21:05:04
239,Birjand,32.8663,59.2211,62.6,13,0,6.91,IR,2021-04-23 21:07:34
240,Zhanaozen,43.3,52.8,53.24,63,1,9.51,KZ,2021-04-23 21:07:35
241,Maningrida,-12.0667,134.2667,72.1,81,42,10.8,AU,2021-04-23 21:07:35
242,Biharamulo,-2.6319,31.3089,61.59,95,23,3.49,TZ,2021-04-23 21:07:35
243,Hami,42.8,93.45,45.48,26,35,11.05,CN,2021-04-23 21:07:36
