,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Hambantota,LK,6.1241,81.1185,82.4,94,20,3.44,few clouds
259,Zyryanka,RU,65.75,150.85,5.56,88,5,7.31,clear sky
260,Talakan,RU,50.3167,130.3667,39.18,36,100,2.93,overcast clouds
261,Rocha,UY,-34.4833,-54.3333,63.07,69,36,11.48,scattered clouds
262,Paamiut,GL,61.994,-49.6678,40.06,76,100,7.78,overcast clouds
263,Mamlyutka,KZ,54.9375,68.5394,53.82,50,76,12.62,broken clouds
264,Luwingu,ZM,-10.2621,29.9271,77.52,51,98,6.44,overcast clouds
265,Gao,ML,16.6362,1.637,107.4,3,37,8.81,scattered clouds
266,Uruzgan,AF,32.8333,66.0,75.0,9,6,6.24,clear sky
267,Eregli,TR,37.5133,34.0467,76.39,20,100,10.65,overcast clouds
268,Ponta Delgada,PT,37.7333,-25.6667,60.8,72,75,16.11,broken clouds
269,Longyearbyen,SJ,78.2186,15.6401,23.0,74,40,10.36,scattered clouds
270,Garden City,US,42.3256,-83.331,45.0,76,75,14.97,broken clouds
271,Kozhva,RU,65.1073,57.0459,45.82,72,100,11.65,overcast clouds
272,Taldan,RU,53.6667,124.8,39.27,56,100,4.34,overcast clouds
273,Coolum Beach,AU,-26.5333,153.1,64.99,84,2,5.12,clear sky
274,Esna,EG,25.2934,32.554,102.2,10,0,3.44,clear sky
275,Post Falls,US,47.718,-116.9516,44.01,87,90,3.42,overcast clouds
276,Fortuna,US,40.5982,-124.1573,46.0,93,90,13.8,light rain
277,Huauchinango,MX,20.1833,-98.05,66.79,82,100,2.15,overcast clouds
278,Skjervoy,NO,70.0311,20.9714,37.4,65,75,11.5,broken clouds
279,Russell,US,32.3502,-85.1999,61.0,67,20,12.66,few clouds
280,Mexico,PH,15.0646,120.7198,80.6,69,75,8.05,broken clouds
281,Letka,RU,59.6011,49.4232,37.6,97,100,4.36,light rain
282,Tam Ky,VN,15.5667,108.4833,82.4,83,20,2.3,few clouds
283,Wexford,IE,52.3342,-6.4575,57.2,44,0,12.66,clear sky
284,Flin Flon,CA,54.7682,-101.865,24.8,74,40,4.61,scattered clouds
285,Labuhan,ID,-6.8844,112.2051,79.83,80,42,9.44,scattered clouds
286,Oktyabrskiy,RU,54.4815,53.471,46.35,55,43,17.92,scattered clouds
287,Santiago,CL,-33.4569,-70.6483,61.0,71,0,0.02,clear sky
288,Sterling,US,39.0062,-77.4286,52.0,87,75,10.36,broken clouds
289,Neiafu,TO,-18.65,-173.9833,71.6,100,40,4.79,light rain
290,Arman,RU,59.7,150.1667,12.07,78,33,9.04,scattered clouds
291,Margate,GB,51.3813,1.3862,51.01,52,12,5.01,few clouds
292,Nelson Bay,AU,-32.7167,152.15,57.0,100,18,5.75,few clouds
293,Lundazi,ZM,-12.2929,33.1782,72.19,73,84,5.97,light rain
294,Otacilio Costa,BR,-27.4831,-50.1219,60.84,92,100,4.38,overcast clouds
295,Moree,AU,-29.4667,149.85,51.8,58,0,8.05,clear sky
296,Lake Havasu City,US,34.4839,-114.3224,71.6,18,1,16.11,clear sky
297,Lavrentiya,RU,65.5833,-171.0,21.07,88,100,3.91,overcast clouds
